-89, -371, 778
-66, -355, 746
-61, -229, 700
-71, -69, 610
-88, 94, 463
-78, 247, 358
-85, 354, 208
-112, 389, 46
-120, 365, -175
-134, 274, -325
-140, 182, -402
-129, 54, -393
-108, -71, -346
-85, -173, -232
-76, -232, -34
-84, -258, 127
-124, -292, 338
-172, -317, 519
-241, -347, 659
-323, -318, 724
-404, -236, 693
-493, -139, 616
-579, -70, 519
-682, -30, 422
-774, -16, 313
-834, 33, 246
-838, 122, 133
-845, 230, 59
-834, 363, 58
-802, 440, 93
-772, 467, 186
-747, 471, 254
-727, 452, 336
-725, 439, 363
-716, 439, 340
-704, 413, 251
-688, 376, 172
-662, 324, 82
-632, 278, -27
-645, 278, -141
-681, 311, -232
-668, 334, -241
-575, 361, -230
-387, 381, -219
-212, 383, -181
-60, 407, -139
55, 398, -79
178, 408, -42
275, 389, -46
358, 366, -74
412, 322, -154
387, 292, -263
263, 258, -382
75, 236, -439
-121, 216, -446
-317, 181, -423
-480, 187, -386
-628, 206, -309
-755, 250, -181
-806, 303, -25
-797, 358, 117
-755, 418, 245
-663, 452, 368
-584, 495, 474
-457, 527, 549
-334, 561, 632
-212, 580, 688
-76, 587, 693
81, 583, 656
205, 569, 583
320, 558, 480
426, 526, 352
477, 551, 251
492, 581, 201
473, 623, 189
432, 644, 170
380, 671, 153
277, 678, 167
112, 694, 194
-63, 684, 228
-241, 686, 234
-385, 664, 198
-455, 620, 163
-424, 551, 39
-350, 483, -84
-255, 433, -216
-144, 394, -316
-60, 390, -355
52, 388, -332
132, 420, -285
203, 448, -159
240, 506, -14
246, 558, 106
188, 603, 240
89, 655, 361
-20, 704, 485
-151, 751, 575
-228, 758, 542
-282, 737, 397
-277, 653, 226
-261, 541, 39
-217, 447, -102
-219, 268, -224
-197, 98, -293
-174, -77, -316
-144, -219, -315
-101, -314, -249
-51, -354, -134
-12, -350, 41
4, -323, 252
4, -338, 437
-8, -405, 555
10, -407, 617
25, -408, 604
55, -360, 493
91, -306, 340
100, -284, 138
68, -259, -39
41, -263, -172
-21, -169, -249
-66, -53, -315
-125, 62, -245
-137, 185, -167
-158, 265, -30
-199, 287, 141
-227, 257, 324
-246, 172, 504
-250, 32, 645
-299, -94, 731
-321, -298, 725
-331, -424, 678
-328, -516, 512
-367, -577, 366
-406, -585, 184
-444, -589, 6
-495, -576, -160
-536, -574, -326
-564, -584, -397
-537, -571, -388
-487, -524, -329
-429, -480, -214
