-870, -50, -385
-976, -65, -288
-1042, -47, -124
-972, -118, -109
-950, -114, -157
-913, -180, -195
-925, 48, -196
-961, -47, -116
-1012, -32, -115
-1003, -54, -145
-963, -93, -176
-1030, -217, -62
-1040, -57, 5
-1052, -43, -12
-1117, -82, -60
-1071, -23, -226
-1034, -127, 67
-933, -79, 111
-965, -33, -99
-922, 122, 69
-945, -106, 125
-1007, -54, 302
-1107, -302, 313
-1111, -121, 34
-1052, -55, 112
-914, -90, 117
-894, -71, 169
-1035, 0, 402
-1123, -21, 400
-1081, -75, 309
-963, -115, 242
-920, -135, 249
-881, -78, 315
-890, -62, 385
-994, -103, 632
-959, -125, 456
-877, -115, 361
-838, -103, 470
-852, -79, 491
-885, -62, 557
-842, -92, 518
-854, -80, 574
-821, -100, 614
-803, -93, 584
-781, -75, 588
-780, -49, 611
-808, -109, 631
-778, -126, 690
-792, -55, 750
-713, -46, 645
-699, -73, 659
-702, -81, 681
-713, -54, 779
-678, -19, 754
-682, 26, 775
-626, 45, 686
-621, 4, 671
-673, -12, 837
-636, 83, 817
-637, 144, 815
-616, 104, 690
-566, 130, 611
-626, 153, 750
-677, 224, 873
-636, 216, 830
-617, 231, 725
-591, 239, 651
-604, 245, 643
-636, 280, 683
-657, 316, 704
-663, 342, 695
-673, 250, 678
-672, 232, 597
-697, 267, 579
-739, 308, 567
-744, 322, 543
-802, 333, 635
-813, 302, 524
-792, 219, 494
-817, 274, 466
-857, 277, 469
-916, 267, 462
-943, 203, 490
-895, 175, 390
-861, 179, 291
-894, 195, 287
-957, 197, 341
-982, 165, 342
-987, 136, 312
-911, 96, 205
-909, 52, 202
-1085, 91, 260
-1079, 94, 279
-999, 55, 203
-969, 77, 145
-948, 22, 156
-980, -14, 171
-1015, -25, 135
-1061, -71, 178
-1022, -119, 157
-968, -141, 54
-1015, -121, 110
-1067, -146, 103
-1022, -184, 62
-1020, -244, 92
-939, -226, 58
-960, -256, 49
-985, -291, 12
-956, -293, 31
-982, -353, 106
-966, -397, 93
-943, -431, 87
-945, -464, 125
-776, -555, 25
-956, -323, 101
-935, -567, 157
-879, -526, 179
-857, -634, 246
-834, -576, 201
-778, -525, 108
-827, -547, 211
-806, -570, 306
-799, -617, 286
-798, -640, 441
-727, -625, 385
-744, -595, 336
-739, -585, 439
-691, -584, 384
-656, -588, 419
-678, -621, 534
-663, -630, 550
-667, -589, 530
-646, -536, 548
-631, -562, 687
-619, -590, 680
-592, -499, 613
-517, -385, 685
-547, -376, 781
-559, -292, 797
-591, -276, 891
-548, -259, 816
-511, -183, 807
-476, -80, 751
-529, -11, 867
-567, 105, 875
-561, 64, 885
-536, 52, 807
-550, 147, 738
-575, 199, 770
-595, 233, 735
-637, 262, 845
-605, 251, 716
-652, 229, 677
-651, 263, 661
-669, 306, 720
-663, 302, 690
-707, 259, 679
-707, 275, 618
-706, 359, 556
-693, 450, 494
-733, 400, 541
-757, 411, 573
-775, 407, 521
-780, 462, 399
-770, 517, 278
-780, 516, 247
-832, 460, 334
-842, 393, 397
-895, 434, 398
-1044, 684, 135
-755, 475, 71
-882, 501, 138
-889, 450, 71
-864, 491, 52
-781, 482, 67
-872, 505, 17
-933, 423, -106
-867, 395, -265
-795, 412, -182
-835, 374, -101
-947, 332, -185
-981, 342, -224
-891, 307, -213
-811, 346, -364
-883, 274, -287
-976, 262, -292
-998, 125, -233
-949, 93, -253
-900, 156, -322
-1002, 114, -240
-986, -1, -217
-935, -39, -291
-966, -89, -264
-961, -68, -284
-936, -114, -299
-962, -188, -250
-959, -194, -257
-983, -187, -250
-1006, -275, -214
-976, -313, -201
-942, -286, -207
-907, -331, -261
-925, -336, -274
